Change Component Comment : Designator=C10 Old Comment=0.1UF, 16V, 0603 New Comment=CAP 0603 0.1UF 16V 10% X7R
Change Component Comment : Designator=C11 Old Comment=0.1UF, 16V, 0603 New Comment=CAP 0603 0.1UF 16V 10% X7R
Change Component Comment : Designator=C12 Old Comment=0.1UF, 16V, 0603 New Comment=CAP 0603 0.1UF 16V 10% X7R
Change Component Comment : Designator=C14 Old Comment=0.1UF, 16V, 0603 New Comment=CAP 0603 0.1UF 16V 10% X7R
Change Component Comment : Designator=C18 Old Comment=0.1UF, 16V, 0603 New Comment=CAP 0603 0.1UF 16V 10% X7R
Change Component Comment : Designator=C19 Old Comment=0.1UF, 16V, 0603 New Comment=CAP 0603 0.1UF 16V 10% X7R
Change Component Comment : Designator=C20 Old Comment=0.1UF, 16V, 0603 New Comment=CAP 0603 0.1UF 16V 10% X7R
Change Component Comment : Designator=C21 Old Comment=0.1UF, 16V, 0603 New Comment=CAP 0603 0.1UF 16V 10% X7R
Change Component Comment : Designator=C22 Old Comment=0.1UF, 16V, 0603 New Comment=CAP 0603 0.1UF 16V 10% X7R
Change Component Comment : Designator=C17 Old Comment=1PF, 50V, 0603 New Comment=CAP 0603 1PF 50V 0.05PF MLO
Change Component Comment : Designator=C2 Old Comment=1UF, 50V, 0603 New Comment=CAP 0603 1UF 50V 10% X7R
Change Component Comment : Designator=C5 Old Comment=1UF, 50V, 0603 New Comment=CAP 0603 1UF 50V 10% X7R
Change Component Comment : Designator=C3 Old Comment=4.7UF, 35V, 0805 New Comment=CAP 0805 4.7UF 35V 10% X7R
Change Component Comment : Designator=C6 Old Comment=4.7UF, 35V, 0805 New Comment=CAP 0805 4.7UF 35V 10% X7R
Change Component Comment : Designator=C1 Old Comment=10UF, 25V, 0603 New Comment=CAP 0603 10UF 25V 20% X5R
Change Component Comment : Designator=C13 Old Comment=10UF, 25V, 0603 New Comment=CAP 0603 10UF 25V 20% X5R
Change Component Comment : Designator=C15 Old Comment=10UF, 25V, 0603 New Comment=CAP 0603 10UF 25V 20% X5R
Change Component Comment : Designator=C16 Old Comment=10UF, 25V, 0603 New Comment=CAP 0603 10UF 25V 20% X5R
Change component parameters: Designator = "FB1" ("FB1"); Footprint = "0805"; UniqueID = "\GDJTUDWI\XTRDIKFH" ("\GDJTUDWI\XTRDIKFH")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer Website"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.tdk.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Component Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.tdk.co.jp/tefe02/e9412_mmz1608.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "Octopart Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "http://octopart.com/partsearch/#search/requestData&q=MMZ1608S121A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current (mA)"; Value = "500"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DC Resistance (ohms)"; Value = "0.2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description in Visual"; Value = "Ferrite SMT 500mA 120Ohm Dif Mode 0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "EEE"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Filter type"; Value = "Differential Mode - Single"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Frequency"; Value = "100 MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Grade"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Impedance at Freq (ohms)"; Value = "120"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "TDK"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "MMZ1608S121A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature Range"; Value = "-55 to +125 °C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P/N"; Value = "MMZ1608S121A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Usage"; Value = "Signal Line"; VariantName = "[No Variations]"
Change component parameters: Designator = "MTG1" ("MTG1"); Footprint = "MTG-M3"; UniqueID = "\MBNRXBXE\TKHRFLKE" ("\MBNRXBXE\TKHRFLKE")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description in Visual"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P/N"; Value = "MTG M3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Package"; Value = "M3"; VariantName = "[No Variations]"
Change component parameters: Designator = "MTG2" ("MTG2"); Footprint = "MTG-M3"; UniqueID = "\MBNRXBXE\FITZJZVT" ("\MBNRXBXE\FITZJZVT")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description in Visual"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P/N"; Value = "MTG M3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Package"; Value = "M3"; VariantName = "[No Variations]"
Change component parameters: Designator = "MTG3" ("MTG3"); Footprint = "MTG-M3"; UniqueID = "\MBNRXBXE\LUSPPVRP" ("\MBNRXBXE\LUSPPVRP")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description in Visual"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P/N"; Value = "MTG M3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Package"; Value = "M3"; VariantName = "[No Variations]"
Change component parameters: Designator = "MTG4" ("MTG4"); Footprint = "MTG-M3"; UniqueID = "\MBNRXBXE\BSALUSJL" ("\MBNRXBXE\BSALUSJL")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description in Visual"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P/N"; Value = "MTG M3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Package"; Value = "M3"; VariantName = "[No Variations]"
Change component parameters: Designator = "C1" ("C1"); Footprint = "0603_CAP"; UniqueID = "\GDJTUDWI\OGKFCVKV" ("\GDJTUDWI\OGKFCVKV")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer Website"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Component Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "Octopart Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description in Visual"; Value = "Cap SMT 0603 10UF 25V 20% Ceramic X5R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Features"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P/N"; Value = "CAP 0603 10UF 25V 20% X5R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "20%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "Ceramic X5R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Val"; Value = "10UF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "10UF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Vol"; Value = "25V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "25V"; VariantName = "[No Variations]"
Change component parameters: Designator = "C2" ("C2"); Footprint = "0603_CAP"; UniqueID = "\GDJTUDWI\LJYINJCR" ("\GDJTUDWI\LJYINJCR")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer Website"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Component Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "Octopart Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description in Visual"; Value = "Cap SMT 0603 1UF 50V 10% Ceramic X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Features"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P/N"; Value = "CAP 0603 1UF 50V 10% X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "Ceramic X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Val"; Value = "1UF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "1UF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Vol"; Value = "50V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "50V"; VariantName = "[No Variations]"
Change component parameters: Designator = "C3" ("C3"); Footprint = "0805_CAP"; UniqueID = "\GDJTUDWI\NHBFYEKY" ("\GDJTUDWI\NHBFYEKY")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer Website"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Component Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "Octopart Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description in Visual"; Value = "Cap SMT 0805 4.7UF 35V 10%  Cer X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Features"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P/N"; Value = "CAP 0805 4.7UF 35V 10% X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Package"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "Ceramic X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Val"; Value = "4.7UF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "4.7UF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Vol"; Value = "35V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "35V"; VariantName = "[No Variations]"
Change component parameters: Designator = "C5" ("C5"); Footprint = "0603_CAP"; UniqueID = "\GDJTUDWI\GPKHLUQK" ("\GDJTUDWI\GPKHLUQK")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer Website"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Component Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "Octopart Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description in Visual"; Value = "Cap SMT 0603 1UF 50V 10% Ceramic X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Features"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P/N"; Value = "CAP 0603 1UF 50V 10% X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "Ceramic X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Val"; Value = "1UF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "1UF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Vol"; Value = "50V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "50V"; VariantName = "[No Variations]"
Change component parameters: Designator = "C6" ("C6"); Footprint = "0805_CAP"; UniqueID = "\GDJTUDWI\HNQLSAUC" ("\GDJTUDWI\HNQLSAUC")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer Website"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Component Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "Octopart Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description in Visual"; Value = "Cap SMT 0805 4.7UF 35V 10%  Cer X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Features"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P/N"; Value = "CAP 0805 4.7UF 35V 10% X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Package"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "Ceramic X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Val"; Value = "4.7UF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "4.7UF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Vol"; Value = "35V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "35V"; VariantName = "[No Variations]"
Change component parameters: Designator = "C10" ("C10"); Footprint = "0603_CAP"; UniqueID = "\WXVZRCSH\DSETGGHU" ("\WXVZRCSH\DSETGGHU")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer Website"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Component Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "Octopart Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description in Visual"; Value = "Cap SMT 0603 0.1UF 16V 10%  Cer X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Features"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "Various"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P/N"; Value = "CAP 0603 0.1UF 16V 10% X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Package"; Value = "0603"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "Ceramic X7R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Val"; Value = "0.1UF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "0.1UF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Vol"; Value = "16V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "16V"; VariantName = "[No Variations]"
Change component parameters: Designator = "C11" ("C11"); Footprint = "0603_CAP"; UniqueID = "\WXVZRCSH\TZEITEWL" ("\WXVZRCSH\TZEITEWL")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer Website"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Component Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "Octopart Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description in Visual"; Value = "Cap SMT 0603 0.1UF 16V 10%  Cer X7R"; VariantName = "[No Variations]"
