"Line #";"Designator";"Footprint";"Quantity";"Library Reference";"Name";"Manufacturer Part Number 1"
"67";"R9";"0603_RES";"1";"RES 0603 29.4K 0.1%";"RES 0603 29.4K 0.1%";""
"68";"R10, R11, R12, R13, R29, R39";"0603_RES";"6";"RES 0603 0 5%";"RES 0603 0 5%";""
"69";"R14, R16";"0603_RES";"2";"RES 0603 10 1%";"RES 0603 10 1%";""
"70";"R15";"RES_6432-M";"1";"KRL6432E-M-R003-F-T1";"KRL6432E-M-R003-F-T1";"KRL6432E-M-R003-F-T1"
"71";"R17, R18";"0805_RES";"2";"RES 0805 60.4 1%";"RES 0805 60.4 1%";""
"72";"R19, R23, R28, R36, R38";"0603_RES";"5";"RES 0603 10K 1%";"RES 0603 10K 1%";""
"73";"R20, R21, R22";"0603_RES";"3";"RES 0603 1.5K 1%";"RES 0603 1.5K 1%";""
"74";"R24, R25";"0603_RES";"2";"RES 0603 2.2K 1%";"RES 0603 2.2K 1%";""
"75";"R26";"0603_RES";"1";"RES 0603 100K 1%";"RES 0603 100K 1%";""
"76";"R27, R34";"0603_RES";"2";"RES 0603 1K 1%";"RES 0603 1K 1%";""
"77";"R30";"0805_RES";"1";"RES 0805 2 1%";"RES 0805 2 1%";""
"78";"R31, R33";"0603_RES";"2";"RES 0603 11.5K 1%";"RES 0603 11.5K 1%";""
"79";"R32";"0603_RES";"1";"RES 0603 6.98K 1%";"RES 0603 6.98K 1%";""
"80";"R35, R37";"0603_RES";"2";"RES 0603 10K 0.1%";"RES 0603 10K 0.1%";""
"81";"RV1";"3296Z";"1";"3299X-1-503LF";"3299X-1-503LF";"3299X-1-503LF"
"82";"SW1";"EVP-BB2A9B000";"1";"EVP-BB2A9B000";"EVP-BB2A9B000";"EVP-BB2A9B000"
"83";"TP1";"KSTN-5002";"1";"5002";"5002";"5002"
"84";"TP2";"KSTN-5001";"1";"5001";"5001";"5001"
"85";"U1";"ADUM226N0BRIZ";"1";"ADUM226N0BRIZ";"ADUM226N0BRIZ";""
"86";"U2";"D0008A_N";"1";"INA219AIDR";"INA219AIDR";"INA219AIDR"
"87";"U3";"Microchip_C04-2057A_0";"1";"MCP2561-E/SN";"MCP2561-E/SN";"MCP2561-E/SN"
"88";"U4";"SOT95P280X145-5N";"1";"STMPS2141STR";"STMPS2141STR";"STMPS2141STR"
"89";"U5";"TQFP80P900X900X120-32N";"1";"ATMEGA328P-AUR";"ATMEGA328P-AUR";"ATMEGA328P-AUR"
"90";"U6";"SOIC-18";"1";"MCP2515T-I/SO";"MCP2515T-I/SO";""
"91";"U7";"DCK0005A_L";"1";"SN74LVC1G17DCKR";"CMP-0859-00388-4";"SN74LVC1G17DCKR"
"92";"Y1";"MURA-CSTCE_G_A-3_V";"1";"CSTNE16M0V530000R0";"CSTNE16M0V530000R0";"CSTNE16M0V530000R0"
