Altium Designer Pick and Place Locations
C:\git\AERO_2019-2020\BSPD-2019-2020\Altium\Project Outputs for UVM AERO BSPD\Manufacturing\Pick Place for UVM AERO BSPD.txt

========================================================================================================================
File Design Information:

Date:       05/02/20
Time:       00:58
Revision:   cd3b498b96d30658048e2e957f439fdef7035a35
Variant:    No variations
Units used: mil

Designator Comment                       Layer    Footprint                                 Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                       
R2         "RES 0603 330K 1%"            TopLayer 0603_RES                                  2134.782      2815.000      360      "Resistor Surface Mount, 330K Ohms, 0603 Footprint, 1% Tolerance 0.1W"                                                                            
U9         NCS2003SN2T1G                 TopLayer ONSC-TSOP-5-483-02_V                      400.000       734.723       180      "Low Voltage, Rail-to-Rail Output Operational Amplifier, 1.7 to 5.5 V, -40 to 85 degC, 5-Pin TSOP, Pb-Free, Tape and Reel"                        
TP21       5002                          TopLayer KSTN-5002                                 2955.000      2485.000      0        "Test Point, White, 1-Pin THD, RoHS, Bulk"                                                                                                        
TP17       5116                          TopLayer KSTN-5116                                 1515.000      2585.000      0        "Test Point, Green, 1-Pin THD, RoHS, Bulk"                                                                                                        
TP16       5001                          TopLayer KSTN-5001                                 1965.000      2300.000      0        "Test Point, Black, 1-Pin THD, RoHS, Bulk"                                                                                                        
TP15       5000                          TopLayer KSTN-5000                                 1950.000      2645.000      0        "Test Point, Red, 1-Pin THD, RoHS, Bulk"                                                                                                          
TP14       5002                          TopLayer KSTN-5002                                 2210.000      1990.000      0        "Test Point, White, 1-Pin THD, RoHS, Bulk"                                                                                                        
TP6        5002                          TopLayer KSTN-5002                                 2479.571      2305.000      0        "Test Point, White, 1-Pin THD, RoHS, Bulk"                                                                                                        
C10        "CAP 0603 0.1UF 16V 10% X7R"  TopLayer 0603_CAP                                  2855.000      2530.000      270      "Capacitor Surface Mount 0603 Footprint 0.1UF 16V 10% Tolerance Ceramic X7R"                                                                      
C22        "CAP 0603 0.1UF 16V 10% X7R"  TopLayer 0603_CAP                                  850.000       410.000       360      "Capacitor Surface Mount 0603 Footprint 0.1UF 16V 10% Tolerance Ceramic X7R"                                                                      
C21        "CAP 0603 0.1UF 16V 10% X7R"  TopLayer 0603_CAP                                  655.000       485.000       180      "Capacitor Surface Mount 0603 Footprint 0.1UF 16V 10% Tolerance Ceramic X7R"                                                                      
D9         DF2B6.8AFS,L3M                TopLayer SOD923                                    845.224       3277.000      180      "7V (Typ) Clamp 1A (8/20µs) Ipp Tvs Diode Surface Mount fSC (SOD-923) "                                                                           
K1         G5V-1-DC12                    TopLayer Omron_G5V-1-DC12_MFG                      2630.000      630.000       270      "General Purpose Relay SPDT (1 Form C) Through Hole"                                                                                              
R26        "RES 0603 620 1%"             TopLayer 0603_RES                                  1748.465      281.299       180      "Resistor Surface Mount, 620 Ohms, 0603 Footprint, 1% Tolerance 0.1W"                                                                             
R20        "RES 0603 620 1%"             TopLayer 0603_RES                                  2230.000      1160.000      360      "Resistor Surface Mount, 620 Ohms, 0603 Footprint, 1% Tolerance 0.1W"                                                                             
R19        "RES 0603 200 1%"             TopLayer 0603_RES                                  1270.276      747.008       270      "Resistor Surface Mount, 200 Ohms, 0603 Footprint, 1% Tolerance 0.1W"                                                                             
D7         SM0805GCL                     TopLayer LEDC2012X135N_SM0805GCL(Primary)          1733.465      181.299       0        "Green 574nm LED Indication - Discrete 1.9V 0805 (2012 Metric)"                                                                                   
D5         SM0805HCL                     TopLayer LEDC2012X135N_SM0805HCL(Primary)          2380.000      1160.000      360      "Red 631nm LED Indication - Discrete 1.9V 0805 (2012 Metric)"                                                                                     
D4         SM0805HCL                     TopLayer LEDC2012X135N_SM0805HCL(Primary)          2530.000      1160.000      180      "Red 631nm LED Indication - Discrete 1.9V 0805 (2012 Metric)"                                                                                     
C11        "CAP 0603 0.1UF 16V 10% X7R"  TopLayer 0603_CAP                                  2165.000      2435.000      270      "Capacitor Surface Mount 0603 Footprint 0.1UF 16V 10% Tolerance Ceramic X7R"                                                                      
SW3        FSMSMTR                       TopLayer TECO-FSMSMTR_V                            1100.000      575.000       360      "FSMSM Push Button Switch, 50 mA, -35 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel"                                                                 
R15        "RES 0603 620 1%"             TopLayer 0603_RES                                  2680.000      1160.000      180      "Resistor Surface Mount, 620 Ohms, 0603 Footprint, 1% Tolerance 0.1W"                                                                             
R27        RT0805BRE071ML                TopLayer RESC2013X60X35ML10T20                     257.599       500.000       270      ""                                                                                                                                                
R25        "RES 0603 200 1%"             TopLayer 0603_RES                                  2030.000      281.299       360      "Resistor Surface Mount, 200 Ohms, 0603 Footprint, 1% Tolerance 0.1W"                                                                             
Q1         2N7002-7-F                    TopLayer DIOD-SOT23-3_V                            2180.000      250.000       360      "N-Channel Enhancement Mode Field Effect Transistor, 60 V, 0.115 A, -55 to 150 degC, 3-Pin SOT23, RoHS, Tape and Reel"                            
J1         1-770872-0                    TopLayer CON2_1X2_P163_VM_ALT                      2503.994      212.441       180      "Connector Header Through Hole 2 position 0.163" (4.14mm)"                                                                                        
D6         1N4148W-TP                    TopLayer MCC-SOD123_V                              2415.276      630.000       270      "High Speed Switching Diode, 400 mW, 150 mA, -65 to 150 degC, 2-Pin SOD123, RoHS, Tape and Reel"                                                  
D8         SP0503BAHTG                   TopLayer LFUS-SOT143-4_V                           654.000       811.000       180      "TVS Diode Array, 30 pF, 30 KV, -40 to 85 degC, 4-Pin SOT143, RoHS, Tape and Reel"                                                                
C9         UUD1V331MNL1GS                TopLayer NIC-CAPA2-10X10_V                         1840.000      1380.000      270      "Aluminum Electrolytic Capacitor, UD Series, Low Impedance, 330 uF, 35 V, + / - 20%, -55 to 105 degC, Chip Type, 10 x 10 mm D x L, Pb-Free, Reel" 
C8         UUD1V331MNL1GS                TopLayer NIC-CAPA2-10X10_V                         1325.000      1380.000      270      "Aluminum Electrolytic Capacitor, UD Series, Low Impedance, 330 uF, 35 V, + / - 20%, -55 to 105 degC, Chip Type, 10 x 10 mm D x L, Pb-Free, Reel" 
C7         "CAP 47uF 10V 1206(3216)"     TopLayer CAPC1206(3216)190_N                       1870.000      2455.000      90       "CAP 47uF 10V ±20% 1206 (3216 Metric) Thickness 1.9mm SMD"                                                                                        
C6         "CAP 0805 4.7UF 35V 10% X7R"  TopLayer 0805_CAP                                  1740.000      2445.000      90       "Capacitor Surface Mount 0805 Footprint 4.7UF 35V 10% Tolerance Ceramic X7R"                                                                      
C5         "CAP 0603 1UF 50V 10% X7R"    TopLayer 0603_CAP                                  1620.000      2445.000      90       "Capacitor Surface Mount 0603 Footprint 1UF 50V 10% Tolerance Ceramic X7R"                                                                        
C4         "CAP 47uF 10V 1206(3216)"     TopLayer CAPC1206(3216)190_N                       1805.000      2680.000      90       "CAP 47uF 10V ±20% 1206 (3216 Metric) Thickness 1.9mm SMD"                                                                                        
R11        3339H-1-103LF                 TopLayer 3339H-1-103LF                             1910.000      3115.000      360      "10 kOhms 0.5W, 1/2W PC Pins Through Hole Trimmer Potentiometer Cermet 4 Turn Top Adjustment"                                                     
R14        RR0816P-272-D                 TopLayer RESC1608X50X30NL20T20                     2425.000      2030.000      360      ""                                                                                                                                                
R13        RT0603DRE072KL                TopLayer RESC1608X55X25NL10T15                     2890.000      2058.878      90       ""                                                                                                                                                
R12        RR0816P-272-D                 TopLayer RESC1608X50X30NL20T20                     2960.000      1920.000      90       ""                                                                                                                                                
R6         3339H-1-103LF                 TopLayer 3339H-1-103LF                             1580.000      3115.000      360      "10 kOhms 0.5W, 1/2W PC Pins Through Hole Trimmer Potentiometer Cermet 4 Turn Top Adjustment"                                                     
R5         3339H-1-103LF                 TopLayer 3339H-1-103LF                             1250.000      3115.000      360      "10 kOhms 0.5W, 1/2W PC Pins Through Hole Trimmer Potentiometer Cermet 4 Turn Top Adjustment"                                                     
L4         ACP3225-102-2P-T000           TopLayer TDK-ACP3225-102-2P-T000-4_V               620.000       1360.000      360      "Common Mode Filter, 1000 Ohm Impedance, 1.2 A, 60 V, -40 to 85 degC, 4-Pin SMD, RoHS, Tape and Reel"                                             
F2         1812L050/30PR                 TopLayer LFUS-1812L05030PR                         260.000       1300.000      90       "PTC Resettable Fuse, 0.8 W, 30 V, -40 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel"                                                                
D3         ESD5Z12T1G                    TopLayer ONSC-SOD-523-2-502-01_V                   885.000       1381.122      270      "Transient Voltage Suppressor, Micro-Packaged Diode for ESD Protection, 2-Pin SOD-523, Pb-Free, Tape and Reel"                                    
D2         SZMMSZ5243BT1G                TopLayer ONSC-SOD-123-2-425-04_V                   433.000       1299.000      270      "Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel"                                                                          
D1         B340A-13-F                    TopLayer DIOD-SMA-2_V                              441.575       1488.740      360      "Surface Mount Schottky Barrier Rectifier, 40 V, 3 A, -55 to 150 degC, 2-Pin SMA, RoHS, Tape and Reel"                                            
PS1        "TEL 3-1223"                  TopLayer TEL_3-1223                                600.000       2195.000      90       "Isolated Module DC DC Converter 2 Output 15V -15V   100mA, 100mA 9V - 18V Input"                                                                 
U3         SN74LVC1G04DBVR               TopLayer DBV0005A_M                                2890.000      1420.000      360      "Single Inverter, DBV0005A, LARGE T&R"                                                                                                            
C14        "CAP 0603 0.1UF 16V 10% X7R"  TopLayer 0603_CAP                                  2890.000      1290.000      360      "Capacitor Surface Mount 0603 Footprint 0.1UF 16V 10% Tolerance Ceramic X7R"                                                                      
U4         LMV7231SQE/NOPB               TopLayer RTW0024A_V                                2645.000      1910.000      180      "Hex Window Comparator with 1.5% Precision and 400mV Reference, 24-pin LLP, 250 Reel"                                                             
R7         "RES 0603 10K 1%"             TopLayer 0603_RES                                  2810.500      1596.850      270      "Resistor Surface Mount, 10K Ohms, 0603 Footprint, 1% Tolerance 0.1W"                                                                             
R4         "RES 0603 10K 1%"             TopLayer 0603_RES                                  2885.858      1596.850      90       "Resistor Surface Mount, 10K Ohms, 0603 Footprint, 1% Tolerance 0.1W"                                                                             
R10        RR0816P-301-D                 TopLayer RESC1608X50X30ML20T20                     2425.000      2100.000      180      ""                                                                                                                                                
R9         RR0816P-183-D                 TopLayer RESC1608X50X30ML20T20                     2970.000      2065.000      270      ""                                                                                                                                                
J3         B4B-XH-A(LF)(SN)              TopLayer B4B-XH-A(LF)(SN)                          814.667       3143.305      360      "Connector Header Through Hole 4 position 0.098" (2.50mm)"                                                                                        
J2         B8B-PH-K-S(LF)(SN)            TopLayer B8B-PH-K                                  511.102       1000.000      180      "Connector Header Through Hole 8 position 0.079" (2.00mm)"                                                                                        
FB2        "Ferrite Chip 120 Ohms"       TopLayer 0603                                      2845.000      1815.000      180      "Ferrite Chip 500 mA 120 Ohms Differential Mode - Single 0603 Footprint"                                                                          
C3         "CAP 0805 4.7UF 35V 10% X7R"  TopLayer 0805_CAP                                  1705.000      2685.000      90       "Capacitor Surface Mount 0805 Footprint 4.7UF 35V 10% Tolerance Ceramic X7R"                                                                      
C13        "CAP 0603 10UF 25V 20% X5R"   TopLayer 0603_CAP                                  2460.000      1910.000      270      "Capacitor Surface Mount 0603 Footprint 10UF 25V 20% Tolerance Ceramic X5R"                                                                       
C12        "CAP 0603 0.1UF 16V 10% X7R"  TopLayer 0603_CAP                                  2380.000      1910.000      270      "Capacitor Surface Mount 0603 Footprint 0.1UF 16V 10% Tolerance Ceramic X7R"                                                                      
U8         LTC6994CS6-1#TRMPBF           TopLayer Linear_Technologies_LTC6994CS6-1#TRMPBF_0 1758.465      840.000       180      "IC DELAY LINE 8TAP PROG TSOT23-6"                                                                                                                
U7         SN74AHCT1G32DBVR              TopLayer DBV0005A_M                                1393.465      710.000       180      "Single 2-Input Positive-OR Gate, DBV0005A, LARGE T&R"                                                                                            
U6         SN74LVC2G74DCTR               TopLayer DCT0008A_M                                1123.465      785.000       180      "Single Positive-Edge-Triggered D-Type Flip-Flop with Clear and Preset, DCT0008A, LARGE T&R"                                                      
U5         LTC6994CS6-1#TRMPBF           TopLayer Linear_Technologies_LTC6994CS6-1#TRMPBF_0 1758.465      540.000       180      "IC DELAY LINE 8TAP PROG TSOT23-6"                                                                                                                
U2         NCS2003SN2T1G                 TopLayer ONSC-TSOP-5-483-02_V                      2297.756      2437.401      180      "Low Voltage, Rail-to-Rail Output Operational Amplifier, 1.7 to 5.5 V, -40 to 85 degC, 5-Pin TSOP, Pb-Free, Tape and Reel"                        
R24        "RES 0805 523K 0.1%"          TopLayer 0805_RES                                  1738.465      975.000       360      "Resistor Surface Mount, 523K Ohms, 0805 Footprint, 0.1% Tolerance 0.125W"                                                                        
R23        ERA6AEB6813V                  TopLayer RESC2013X60X40NL20T25                     1878.465      915.000       270      ""                                                                                                                                                
R22        "RES 0603 47K 1%"             TopLayer 0603_RES                                  963.465       750.000       90       "Resistor Surface Mount, 47K Ohms, 0603 Footprint, 1% Tolerance 0.1W"                                                                             
R21        RT0805BRE071ML                TopLayer RESC2013X60X35ML10T20                     1608.465      895.000       270      ""                                                                                                                                                
R18        ERA6AEB6813V                  TopLayer RESC2013X60X40NL20T25                     1758.465      655.000       360      ""                                                                                                                                                
R17        "RES 0603 49.9K 0.1%"         TopLayer 0603_RES                                  1888.465      635.000       270      "Resistor Surface Mount, 49.9K Ohms, 0603 Footprint, 0.1% Tolerance 0.1W"                                                                         
R16        RT0805BRE071ML                TopLayer RESC2013X60X35ML10T20                     1608.465      600.000       270      ""                                                                                                                                                
R8         RR0816P-301-D                 TopLayer RESC1608X50X30ML20T20                     2878.500      1919.842      270      ""                                                                                                                                                
R1         "RES 0805 2 1%"               TopLayer 0805_RES                                  997.402       1408.622      360      "Resistor Surface Mount, 2 Ohms, 0805 Footprint, 1% Tolerance 0.125W"                                                                             
C19        "CAP 0603 0.1UF 16V 10% X7R"  TopLayer 0603_CAP                                  1118.465      905.000       180      "Capacitor Surface Mount 0603 Footprint 0.1UF 16V 10% Tolerance Ceramic X7R"                                                                      
C18        "CAP 0603 0.1UF 16V 10% X7R"  TopLayer 0603_CAP                                  1398.465      835.000       180      "Capacitor Surface Mount 0603 Footprint 0.1UF 16V 10% Tolerance Ceramic X7R"                                                                      
C16        "CAP 0603 1PF 50V 0.05PF MLO" TopLayer 0603_CAP                                  888.465       750.000       270      "Capacitor Surface Mount 0603 Footprint 1PF 50V 0.05PF Tolerance MLO"                                                                             
C17        "CAP 0603 10UF 25V 20% X5R"   TopLayer 0603_CAP                                  1758.465      425.000       180      "Capacitor Surface Mount 0603 Footprint 10UF 25V 20% Tolerance Ceramic X5R"                                                                       
C15        "CAP 0603 10UF 25V 20% X5R"   TopLayer 0603_CAP                                  1758.465      730.000       180      "Capacitor Surface Mount 0603 Footprint 10UF 25V 20% Tolerance Ceramic X5R"                                                                       
C2         "CAP 0603 1UF 50V 10% X7R"    TopLayer 0603_CAP                                  1610.000      2690.000      90       "Capacitor Surface Mount 0603 Footprint 1UF 50V 10% Tolerance Ceramic X7R"                                                                        
C1         "CAP 0603 10UF 25V 20% X5R"   TopLayer 0603_CAP                                  1010.000      1549.016      90       "Capacitor Surface Mount 0603 Footprint 10UF 25V 20% Tolerance Ceramic X5R"                                                                       
